turn,intersection,org,dst,length
46339,46337,9979,9980,28.621413116529407
46340,46337,10038,9820,28.04331247824683
46341,46337,10038,9980,19.60833086140073
46345,46344,9834,9981,17.800104171290496
46346,46344,9834,10019,23.639699720320174
46347,46344,9980,9981,24.746570789223234
46348,46344,9980,10019,15.493075590292559
46352,46351,9465,9974,24.86015595636978
46353,46351,9465,9977,36.032142294406015
46354,46351,9976,9974,33.119014587832716
46355,46351,9976,9977,25.49612390031651
46359,46358,9973,9491,24.147536937511532
46360,46358,9973,9970,18.491613432411786
46361,46358,9974,9491,13.58466488578565
46362,46358,9974,9970,23.201015560630676
46366,46365,8278,10030,28.135924966291828
46367,46365,8278,10047,20.1201508838632
46368,46365,10029,10030,15.776226230313833
46369,46365,10029,10047,24.233219586710092
46371,46370,9518,9971,23.873393780584873
46372,46370,10125,9968,17.690998642281194
46373,46370,10125,10127,25.09089493966161
46374,46370,10128,9968,38.56077665013701
46375,46370,10128,9971,12.221014070814299
46376,46370,10128,10127,34.36068135128485
46378,46377,10032,10033,26.34165343951295
46379,46377,10130,10129,26.286422112520324
46380,46377,10131,10033,18.336473498804118
46381,46377,10131,10048,40.088860971081864
46382,46377,10131,10129,14.04839033313143
46383,46377,10131,10179,37.23471052062169
46384,46377,10178,10048,18.411723213925985
46385,46377,10178,10179,26.610327417891828
46391,46390,10028,10025,25.14292719728194
46392,46390,10028,10049,14.923259250406268
46393,46390,10037,10025,15.972077604880816
46394,46390,10037,10049,22.50290546595388
46396,46395,9942,9763,28.341814511704506
46397,46395,9942,9957,20.50756499477976
46398,46395,9956,9763,20.92065142359297
46399,46395,9956,9957,25.01957132678566
46403,46402,9778,9943,30.22848847509929
46404,46402,9778,9958,22.57408759835795
46405,46402,9957,9943,18.855225121594014
46406,46402,9957,9958,23.275586527458355
46410,46409,8264,9802,39.19737852101819
46411,46409,8264,9963,28.73643070668588
46412,46409,9962,9802,34.775645820026725
46413,46409,9962,9963,43.098025240989536
46415,46414,9803,8266,38.538609944601674
46416,46414,9803,9964,28.623895033426937
46417,46414,9963,8266,28.27578565135941
46418,46414,9963,9964,39.86286877926242
46420,46419,8268,9817,35.247202724991986
46421,46419,8268,9965,19.81263258727973
46422,46419,9964,9817,26.002087610843308
46423,46419,9964,9965,26.451270529141695
46425,46424,9965,9966,33.20131741156801
46426,46424,9965,9969,19.65864683032708
46427,46424,9968,9966,26.3034730749001
46428,46424,9968,9969,29.4624266634084
46432,46431,9793,9960,33.600464070759486
46433,46431,9958,9794,40.94013028079045
46434,46431,9958,9960,16.792701877798674
46435,46431,9958,9962,34.94069516547113
46436,46431,9959,9794,38.56695485560968
46437,46431,9959,9962,17.460191781697546
46442,46441,989,17008,24.551822231682134
46443,46441,989,17007,16.1321738254772
46444,46441,10054,10050,23.85152289903623
46445,46441,10054,17007,19.212312559890556
46447,46446,9951,17003,29.276837675234233
46448,46446,9951,9954,19.788284713521257
46449,46446,9952,17003,11.27268404907704
46450,46446,9952,9954,21.980012119993162
46454,46453,9937,1003,14.687117818837065
46455,46453,9937,9950,28.271893958364203
46456,46453,10109,1003,14.483989200066471
72139,46453,72127,9950,9.994979024222074
46461,46460,9290,17020,23.36288476007045
46462,46460,10040,17020,19.21465744847423
46464,46463,10039,9293,24.303136958780467
46465,46463,10039,10040,32.25001150633082
46466,46463,10041,9293,32.194829789323705
46467,46463,10041,10040,21.59416859976745
46471,46470,17000,10041,31.013394509643607
46472,46470,17000,10042,23.766583665777983
46473,46470,17017,10041,23.83139592480848
46474,46470,17017,10042,34.14726463920943
46478,46477,10042,9573,27.052630088156025
46479,46477,10042,10044,16.64508215421866
46480,46477,10043,9573,22.13866599713567
46481,46477,10043,10044,21.88247001114435
46485,46484,9299,10039,21.857241379597884
46486,46484,9299,10043,28.425724394878916
46487,46484,9586,10039,33.76695777702591
46488,46484,9586,10043,25.79078782966123
46492,46491,9552,10045,22.179061916698313
46493,46491,9552,10046,14.298855268002768
46494,46491,10044,10045,22.88317972156304
46495,46491,10044,10046,29.630597876690963
46499,46498,1002,1001,14.922441071602421
46500,46498,1002,9936,15.485433522821074
46501,46498,9506,1001,18.024013641789285
46502,46498,9506,9936,31.988229515611213
46506,46505,10023,10022,28.729260289040823
46507,46505,10023,10060,19.0895356088191
46508,46505,10061,10022,18.993312302993143
46509,46505,10061,10060,26.336158546683926
46513,46512,10021,10024,26.10594621804537
46514,46512,10021,10059,20.10835794222738
46515,46512,10060,10024,13.706254451388839
46516,46512,10060,10059,20.79669290483491
46519,46518,10026,10020,31.51791862625823
46520,46518,10026,10057,18.106532228836347
46521,46518,10059,10020,19.7939241955721
46522,46518,10059,10057,23.08346648680839
46526,46525,10019,10027,28.483821003395985
46527,46525,10019,10056,21.966910763650766
46528,46525,10057,10027,13.296995338144498
46529,46525,10057,10056,25.879273258362197
46533,46532,10056,10038,13.829684197607955
46534,46532,10056,10055,21.935282316267177
46535,46532,10062,10038,25.095686600460017
46536,46532,10062,10055,16.438168956217858
46540,46539,990,10063,33.88838627543387
46541,46539,10065,10062,38.859588013384766
46542,46539,10065,10073,36.253105652518784
46543,46539,10071,10062,41.04219798019049
46544,46539,10071,10063,37.45882494731494
46545,46539,10071,10073,13.307152272622327
46546,46539,10072,10062,18.716344151005853
46547,46539,10072,10063,34.49081633230794
46553,46552,9977,990,16.937395432464573
46554,46552,9977,10036,39.10719951268903
46555,46552,9977,10071,28.14767987881941
46556,46552,10069,990,21.971792049190867
46557,46552,10069,10036,21.250330040381467
46558,46552,10069,10071,20.344682185333113
46564,46563,10030,9973,32.852245656958544
46565,46563,10030,10069,21.450523732752025
46566,46563,10068,9973,21.170261117621617
46567,46563,10068,10069,26.36460455866083
46573,46572,983,9972,38.89101159762943
46574,46572,983,10032,16.900844713702117
46575,46572,983,10068,41.538822088761435
46576,46572,9971,10032,42.70381411162904
46577,46572,9971,10068,35.93234368646045
46578,46572,10031,10068,26.101088514590106
46579,46572,10129,9972,47.55481392902469
46580,46572,10129,10068,41.34560249322565
64726,46572,9971,64715,7.30780794699364
46593,46592,747,749,24.005238229367908
46594,46592,747,13414,26.339831494727058
46595,46592,9966,10066,25.63502866914743
46596,46592,9966,13414,27.7430667850723
46597,46592,10187,10066,23.637304065985358
46598,46592,10187,13414,12.796820454320969
46602,46601,9967,8249,28.884891923113603
46603,46601,9967,10035,17.863666654684927
46604,46601,9969,745,16.764833872842324
46605,46601,9969,8249,33.30240897798186
46606,46601,9969,10035,39.25884798356962
46608,46607,10027,10076,11.645430914623981
46609,46607,10027,10077,9.214694897225613
46610,46607,10027,10078,9.104995079371
46612,46611,10036,982,26.87793366756457
46613,46611,10036,10188,20.3533156298367
46614,46611,10073,982,29.130537630880944
46615,46611,10073,10188,33.75694406963902
46616,46611,10077,10072,16.696865573013916
46617,46611,10198,10072,20.747994839286104
46625,46624,1326,1328,24.708445847167862
46626,46624,1326,9836,14.543046254739158
46627,46624,1326,9996,19.8707588218286
46628,46624,1327,1325,24.413032606540657
46629,46624,1327,9836,19.127069147373152
46630,46624,1327,9996,12.406949896560636
46631,46624,9986,1325,23.589550452862927
