id,from_x,from_y,to_x,to_y,length,out_ang,num_lanes,c_x,c_y,cluster,grid_x,grid_y,grid_nb
1014,430329.54133384576,4582409.996945251,430336.2795580777,4582422.141557824,6.465704011834155,-3.1187399570403485,4,430332.91044596175,4582416.069251537,3,1956.0,20829.0,119
1015,430334.2040954012,4582545.616755897,430340.3136063333,4582554.656134919,6.050781250004446,-3.135052709156005,3,430337.2588508673,4582550.136445409,3,1956.0,20829.0,119
1016,430503.9275524509,4581708.793411236,430515.98906664667,4581718.31691517,9.445227149561646,-1.5642563823960025,4,430509.9583095488,4581713.555163203,3,1956.0,20825.0,115
1017,430639.1197680273,4581735.132031607,430651.18457852834,4581746.614117201,11.413927762774946,1.565101050788657,4,430645.1521732778,4581740.873074405,3,1957.0,20826.0,125
1018,430909.6450001326,4581735.091524478,430915.86370834586,4581744.826127591,9.599442885016233,1.5937463665468947,2,430912.7543542392,4581739.958826034,3,1958.0,20826.0,134
1019,431995.8858450215,4581976.96153176,432006.3207750708,4582003.62155241,26.202503192560613,-1.626113000767665,3,432001.10331004614,4581990.291542085,1,1963.0,20827.0,183
1020,431733.6249336794,4582105.194009331,431761.6698013623,4582115.745114982,27.425225705905444,2.9716797970598128,2,431747.64736752084,4582110.469562156,1,1962.0,20827.0,173
1021,431168.04825009615,4582365.172294096,431190.9838272558,4582386.729143799,18.11965591466285,-0.4675693774659114,5,431179.51603867597,4582375.950718948,3,1959.0,20828.0,145
1022,431122.1593787904,4582382.739437245,431161.40470009856,4582412.007735803,40.69322246062107,-0.560920529190319,3,431141.7820394445,4582397.373586524,3,1959.0,20829.0,146
1023,431108.24965323566,4582375.588438463,431159.2083759999,4582408.973498132,55.60439651997644,-0.5321899186687771,2,431133.72901461774,4582392.280968297,3,1959.0,20829.0,146
1024,431191.143476698,4582375.07482966,431208.30058065255,4582399.092773485,21.8399326930505,1.4423630581297968,4,431199.72202867526,4582387.083801573,3,1959.0,20829.0,146
1025,431164.6671588365,4582403.47673091,431197.89021034807,4582423.096667845,31.41761840148288,3.066784493021835,5,431181.2786845923,4582413.286699377,3,1959.0,20829.0,146
1026,431164.31714449456,4582419.215311461,431198.5400376668,4582431.088438492,33.69288308389397,2.963523648090905,2,431181.4285910807,4582425.151874976,3,1959.0,20829.0,146
1027,431155.5332029426,4582387.778330493,431171.0734034253,4582409.204867112,19.481418962654324,-1.1937630818793743,3,431163.30330318393,4582398.491598803,3,1959.0,20829.0,146
1028,431042.3242505339,4582443.666486396,431051.893486834,4582453.284730665,9.052532725302491,-1.5057677147392885,3,431047.1088686839,4582448.475608531,3,1959.0,20829.0,146
1029,430911.27759682864,4582539.203357597,430917.6134754877,4582547.786745891,8.34526618849212,1.5299370831387484,2,430914.44553615816,4582543.495051743,3,1958.0,20829.0,137
1030,429969.7066999248,4582975.079940986,429985.0817759452,4582987.114663687,11.542927298309564,-1.6040132920970829,5,429977.39423793496,4582981.097302336,2,1954.0,20831.0,102
1031,429567.55659734434,4583208.541454444,429582.6153687555,4583217.675004211,9.03564453188579,-1.564256382399913,5,429575.08598304994,4583213.108229328,2,1952.0,20832.0,84
1032,429567.46047119534,4583181.0764280455,429579.5430630794,4583187.636146055,6.403573439924061,-1.5838542390694823,4,429573.5017671374,4583184.35628705,2,1952.0,20832.0,84
1033,429253.3025913339,4583364.469795298,429262.35564513376,4583372.663366087,8.134835518318061,-1.5773418775029795,3,429257.8291182339,4583368.566580692,2,1951.0,20833.0,75
1034,429253.0151152563,4583336.388546245,429259.1851747683,4583344.919104722,8.41008987182826,-1.5504260134805148,2,429256.1001450123,4583340.653825484,2,1951.0,20833.0,75
1035,429433.6259530823,4583274.888815272,429442.7021428345,4583282.781142865,7.804341155117735,1.5806145506682154,3,429438.1640479584,4583278.8349790685,2,1951.0,20833.0,75
1036,429433.1814571571,4583244.844558635,429442.3727572018,4583253.758537143,8.716310085951102,1.5930000315443105,3,429437.7771071794,4583249.301547889,2,1951.0,20832.0,74
1037,429701.319292386,4583107.260851806,429713.8446617818,4583121.281331082,13.55775843120222,1.6102456499716362,4,429707.58197708393,4583114.271091444,2,1953.0,20832.0,93
1038,429702.77500107547,4583140.855133089,429714.856396867,4583153.418618883,12.48527402179509,1.577336271194675,4,429708.8156989713,4583147.136875986,2,1953.0,20832.0,93
1039,429868.5728817717,4583060.450837271,429873.244865561,4583067.368289071,6.326168653734902,1.283047984437424,1,429870.90887366637,4583063.909563171,2,1953.0,20832.0,93
1040,429971.0146128378,4583006.003956349,429986.2996985771,4583017.995912781,11.621590307301409,-1.5957308223665072,5,429978.6571557075,4583011.999934565,2,1954.0,20831.0,102
