id,from_x,from_y,to_x,to_y,length,out_ang,num_lanes
10143,430927.3583649374,4582486.147662806,431042.00321115955,4582547.784826963,125.29900192862863,2.6757937384361785,2
10144,430919.6462861131,4582439.963239188,431042.8810086825,4582505.423690017,134.70390667287634,-0.46239565715398084,2
10145,431044.6302883698,4582472.565903449,431050.96721684106,4582481.220219778,8.41757222600722,-1.6114224465756273,2
10146,430784.4910293251,4582554.352713504,430906.74241369683,4582620.559027614,134.13074339904486,2.6706432172575716,2
10147,430783.6106534365,4582507.407959079,430907.180824394,4582574.872107545,135.86372594202206,-0.4749380651114106,2
10148,430908.50615720765,4582510.578499164,430917.69973103,4582518.156037129,7.338817455921019,1.597617319876803,3
10149,430663.64420084085,4582621.204879483,430772.926949967,4582680.64860316,119.50996346239351,2.6718826065766685,2
10150,430660.497517018,4582575.239290307,430773.2202870398,4582636.238130265,123.28654346013599,-0.46827181549603686,2
10151,430773.4754283278,4582607.066631896,430782.6727645317,4582617.256896011,10.013277465209322,-1.5906828121202186,3
10152,430518.8093349534,4582692.867389814,430629.3725901951,4582754.629399337,121.66626555106437,2.6591458188504755,2
10153,430571.53820449533,4582641.310101226,430640.61081624567,4582680.380551212,74.43140234942672,-0.47018980195457316,2
10154,430516.2975498394,4582686.889052537,430552.5221308356,4582708.4630858665,37.30923124305223,-0.4481654912366581,2
10155,431043.5058972498,4582026.330853504,431053.164254605,4582127.084824761,100.69726562446,-1.5642563823991364,3
10156,430336.31330128136,4582679.369478392,430344.9232476017,4582691.425017887,8.53164999998706,0.006539944348004798,4
10157,430330.4684670549,4582561.825032384,430335.35373904736,4582677.884842415,116.02637784893075,-1.5870491071370552,1
10158,430365.37430475495,4582564.745125064,430371.6880257252,4582673.453666842,108.66759975483119,1.5402846402838908,1
10159,430326.60178497696,4582428.601285575,430333.2412347626,4582542.738404381,114.0994947511937,-1.6027122946536723,1
10160,430362.1998458119,4582429.85046504,430368.76852865773,4582541.742224673,111.85299620784143,1.5388721220393147,1
10161,430358.86823704204,4582544.938686892,430365.14571313246,4582553.979164413,6.2187499999671045,-3.135052709117195,3
10162,430320.7771810321,4582293.220212162,430329.04490169795,4582407.337407758,114.10042059873253,-1.6170082504210683,1
10163,430354.1390222913,4582410.625229124,430360.29549608176,4582422.664722816,6.078125000004789,-3.1350527091923093,4
10164,430357.53304235626,4582296.9509659335,430363.3889315685,4582408.217296421,111.22597044530474,1.5451081426803515,1
10165,430324.12441575027,4582275.819154179,430332.9534985963,4582287.876126835,8.750791210944708,0.0065399444521060356,4
10166,430317.7034940355,4582216.013792827,430323.9928380506,4582275.104200324,59.061715218116284,-1.5658960761082352,2
10167,430350.6753352713,4582162.156328018,430356.90289813373,4582268.211027249,106.01251005735817,1.54033337292608,1
10168,430342.45797390136,4582137.057646839,430348.6849364087,4582155.09721659,6.109375000011757,-3.1350527092769647,6
10169,430310.83532058424,4582022.946927084,430319.11019398016,4582132.894689259,109.93050982345413,-1.618829978746663,1
10170,430341.59507625713,4582022.717037847,430350.7111367778,4582096.930820754,74.02662518633561,1.528617955692717,2
10171,430314.29968477914,4582009.657498705,430323.6008701158,4582018.821620893,9.139615749375379,0.01811987493233262,3
10172,430307.2664364761,4581890.192378891,430313.55606931506,4582005.217952381,114.98681608702567,-1.5994197048713568,1
10173,430340.6180167002,4581892.650839777,430347.49281931145,4582003.165415619,110.47734261616951,1.535699119980632,1
10174,430302.34691995836,4581763.39503514,430307.9730210715,4581869.711789259,106.2750706373687,-1.5955178855670629,1
10175,430338.2394115229,4581764.575101438,430343.9422290609,4581869.829843891,105.21239448051236,1.545094925025123,1
10176,430336.7942988402,4581877.508927963,430342.8529407468,4581883.54816677,6.019531249991389,-3.135052709224611,2
10177,430300.51112114545,4581527.178698314,430303.5701784102,4581697.456027401,170.27629882820543,-1.571143159835065,1
10178,431862.1812628251,4581700.958056313,431984.70140433265,4581705.552603023,122.49146478324015,0.013020058596023688,1
10179,432011.23680840334,4581701.1766588325,432110.4686618307,4581704.825446418,99.21435546880157,0.006539944389293787,1
10180,429029.1776456063,4582266.3596455315,429038.2967987111,4582276.144733695,9.674340388974661,1.5584082207534768,3
10181,428556.2728802638,4582382.10252688,428625.3942000336,4582402.805597019,70.64465308754457,2.8868841807065047,1
10182,428641.4850289809,4582348.388229158,428759.1224147294,4582381.47351437,120.72085396861259,-0.25268313285788796,1
10183,428775.5637230016,4582316.856462916,428890.4719476356,4582348.020770223,117.63083018584236,-0.24254730340476002,1
10184,431372.0806323611,4582233.659600948,431444.49804950046,4582274.477891364,78.20305706072729,-0.4707730773267767,2
10185,431446.65073655016,4582235.590300569,431455.8176042142,4582250.5464995885,14.85570322448415,-1.5820676136154397,3
10186,431370.9452943235,4582272.170110305,431395.44755735865,4582285.315663857,23.949312625272277,0.04843907151760421,4
10187,431846.04752900836,4581549.796281703,431858.1874778293,4581571.31277857,21.438476562427756,1.5773362711926242,4
10188,431952.0053212734,4581977.383679319,431986.8138617218,4582002.776443759,35.033154561293884,-0.5267755420019207,3
10189,429968.8327099161,4582957.576955033,429983.9004864599,4582968.087428478,10.412597656035617,-1.5642563824016489,5
10190,430349.6029740675,4582276.089074185,430355.1470330423,4582288.200539958,5.285878236444118,-0.021619686555933465,4
10191,430319.6299085621,4582137.335001351,430326.6473815103,4582155.379741072,6.8999023437638405,-3.135052709117487,6
10192,431155.6445023976,4581697.545939662,431207.8055156946,4581714.334871792,51.67033861482526,-0.03480487396150112,5
10193,431162.16093309957,4581761.3309672335,431203.4739465183,4581769.181710211,41.083814298079254,3.0963800244492496,2
10194,431675.88203073374,4582114.078095079,431710.4462556014,4582137.788569397,34.252406404554485,-0.4765915149524936,3
10195,431670.7571477373,4582136.036085091,431695.1514895807,4582154.97095486,23.692122440409044,-3.1015126780682203,6
10196,431736.18092307495,4582110.057633048,431768.372958767,4582132.670529855,31.61720575080623,2.660345478895401,3
10197,431744.11415824475,4582116.966794873,431774.9074986659,4582139.363805208,30.181867963465585,2.6402924749323113,3
10198,431963.8479647524,4582011.831463931,431990.4905074228,4582031.132424528,24.019689253068353,2.80279085407099,4
10199,428085.8998016294,4582291.172661236,428104.6881130368,4582411.885456622,120.5976562502474,-1.5642563823996878,6
10201,428086.93413845304,4582170.99766007,428105.5736735727,4582268.961918514,97.84863281259359,-1.5642563823993116,6
10202,428088.6709264316,4582031.482967058,428107.36698312865,4582138.089618804,106.49121093848,-1.5642563823997961,6
10203,428084.84000993846,4581804.826331922,428106.6395683682,4581867.650698289,61.82710082185018,-1.6328510940516279,6
10204,428510.07762952725,4582405.228623784,428542.75383888325,4582420.048485049,32.28990398648679,2.857161019238198,2
10205,430639.0941735995,4581706.743348076,430651.17431014776,4581719.114290138,12.292726172087368,1.5773362711917827,4
10206,430187.08848440915,4581705.96744649,430292.99490326154,4581712.482663612,105.87847202535906,0.004866808181678204,2
10207,431059.3301837029,4581734.12537905,431141.75309502275,4581758.643592536,83.19855122779548,0.22634580101007934,2
10208,431159.3299165155,4581749.068417068,431202.75358179334,4581757.483266433,43.15475049401252,-0.05620705749099541,2
10209,431221.09082708874,4581730.6154551655,431305.454893756,4581752.491854028,84.75340082104172,-0.18973129460093904,2
10210,431710.64386023325,4582117.700260431,431726.49953952164,4582132.669796907,14.052252217769098,-1.507740471788815,5
10211,428511.53028978506,4581443.779165197,428618.87582808884,4581450.4808241185,107.30859375002161,0.0065399443933434505,2
10481,428030.27938833885,4582411.916325165,428076.29802430543,4582415.217096305,45.99999999986529,-3.1350527091995195,1
10483,428019.44647534145,4582284.633050468,428076.8356409263,4582294.945080741,57.47639178928881,-0.12799412948734393,1
10484,428007.8319328382,4582163.926101208,428078.37995481153,4582175.792223888,70.73185468302069,3.0155746791615523,1
10487,427988.0631815351,4582016.530650982,428081.86684153776,4582045.038134681,95.11661973328482,2.9008231863465865,2
10533,427949.9677459908,4581891.774511539,428072.97090740193,4581965.539227927,140.80149799431788,2.611622299174667,1
10718,427923.12650487863,4581339.79735962,428035.38311271206,4581673.601143029,348.64851352426854,1.260237925414381,2
10719,427916.9951402713,4581341.421620091,428029.49911961623,4581676.0031257775,349.46465630904527,-1.8813485819686746,2
10720,428292.72702810075,4581328.238148933,428334.22502961825,4581413.477504923,88.3204890587866,-1.9556338493847005,3
10723,428306.3543980786,4581307.313695575,428409.6956795396,4581316.373239418,103.33611254970677,-0.0005762297237357112,3
10739,428390.9409619304,4581269.803651964,428420.4002448097,4581300.57027856,39.59973962995211,-2.330933929962609,1
10749,428436.56140347396,4581183.432419843,428529.0549686959,4581213.742160719,95.6522036283445,0.2909147707791421,1
10757,428476.54724412254,4581096.623114073,428583.42490184173,4581154.177376232,118.92008339384701,0.4797930813318986,1
10758,428513.9112940477,4581057.524538207,428631.0173886531,4581113.965116979,127.69325203370188,-2.7073895842004174,1
10766,428616.0288924639,4581045.2898407765,428696.6455263968,4581053.084716954,80.58102512475075,-3.0819874638778786,1
10772,428736.83850770665,4580974.182392362,428767.7135953144,4580985.396106434,31.205242426040055,0.2699652340987802,1
10798,428820.3404877491,4580839.300115664,428871.7790679983,4580870.335261343,57.47712949523529,0.5173661856297189,1
10816,429079.7406961407,4580612.905397195,429100.45349531603,4580654.322511173,44.02839312736432,-1.1502704559397383,1
10825,428900.2388674217,4580597.566658771,429072.7000756343,4580657.690819373,180.8226620185256,0.32231900069096014,1
